"Time","ASMR","Airport CEO","Alien: Isolation","Clash Royale","Dale & Dawson Stationery Supplies","Dead End Exit 8","Dead by Daylight","Dofus","ELDEN RING","FTL: Faster Than Light","Five Nights at Freddy's","Fortnite","Genshin Impact","Golf It!","Grand Theft Auto V","Harry Potter and the Sorcerer's Stone","Haunted Castle","Hearthstone","Hollow Knight","I'm Only Sleeping","IRL","Just Chatting","League of Legends","Maitre des Fleurs","Minecraft","NBA 2K25","Offline","Online","Outlast","Platform 8","Pokémon FireRed/LeafGreen","Pokémon GO","Pokémon HeartGold/SoulSilver","Pokémon Scarlet/Violet","PowerWash Simulator","Rocket League","Selaco","Special Agent","Special Events","Star Citizen","Street Fighter 6","Super Smash Bros. Ultimate","TEKKEN 8","Talk Shows & Podcasts","Teamfight Tactics","That's Not My Neighbor","The Legend of Zelda: Ocarina of Time","The Legend of Zelda: The Wind Waker","The Mortuary Assistant","Trackmania","VALORANT","Voices of the Void","Warhammer 40","World of Warcraft","World of Warships"
2024-09-07 03:35:00,,,,,,,,,,,,,,,,,812,,,,,,,,,,0,,,,,,545,,,,,,125635,,,,,,,,,,144,,,,,,
2024-09-07 03:40:00,,,,,,,,,,,,,,,,,827,470,,,,,,,,,0,,,,,,531,,,,,,122579,,,,,,,,,,151,,,,,,
2024-09-07 03:45:00,,,,,,,,,,,,,,,,,751,488,,,,,,,,,0,,,,,,566,,,,,,117802,,,,,,,,,,136,,,,,,
2024-09-07 03:50:00,,,,,,,,,,,,,,,,,781,488,,,,,,,,,0,,,,,,562,,,,,,111752,,,,,,,,,,145,,,,,,
2024-09-07 03:55:00,,,,,,,,,,,,,,,,,704,480,,,,,,,,,0,,,,,,582,,,,,,110133,,,,,,,,,,143,,,,,,
2024-09-07 04:00:00,,,,,,,,,,,,,,,,,743,493,,,,,,,,,0,,,,,,548,,,,,,107266,,,,,,,,,,145,,,,,,
2024-09-07 04:05:00,,,,,,,,,,,,,,,,,725,515,,,,,,,,,0,,,,,,557,,,,,,106802,,,,,,,,,,147,,,,,,
2024-09-07 04:10:00,,,,,,,,,,,,,,,,,698,487,,,,,,,,,0,,,,,,551,,,,,,103173,,,,,,,,,,117,,,,,,
2024-09-07 04:15:00,,,,,,,,,,,,,,,,,698,469,,,,,,,,,0,,,,,,541,,,,,,106641,,,,,,,,,,117,,,,,,
2024-09-07 04:20:00,,,,,,,,,,,,,,,,,677,487,,,,,,,,,0,,,,,,486,,,,,,96094,,,,,,,,,,,,,,,,
2024-09-07 04:25:00,,,,,,,,,,,,,,,,,,499,,,,,,,,,0,,,,,,614,,,,,,90100,,,,,,,,,,,,,,,,
2024-09-07 04:30:00,,,,,,,,,,,,,,,,,,504,,,,,,,,,0,,,,,,593,,,,,,87617,,,,,,,,,,,,,,,,
2024-09-07 04:35:00,,,,,,,,,,,,,,,,,,518,,,,,,,,,0,,,,,,550,,,,,,85574,,,,,,,,,,,,,,,,
2024-09-07 04:40:00,,,,,,,,,,,,,,,,,,518,,,,,,,,,0,,,,,,475,,,,,,82065,,,,,,,,,,,,,,,,
2024-09-07 04:45:00,,,,,,,,,,,,,,,,,,556,,,,,,,,,0,,,,,,582,,,,,,79064,,,,,,,,,,,,,,,,
2024-09-07 04:50:00,,,,,,,,,,,,,,,,,,562,,,,,,,,,0,,,,,,528,,,,,,80148,,,,,,,,,,,,,,,,
